,state,fy2000,fy2001,fy2002,fy2003,fy2004,fy2005,fy2006,fy2007,fy2008,fy2009,fy2010,fy2011,fy2012,fy2013,fy2014,fy2015,fy2016
41,South Dakota,0.047989624,0.138231631,0.136470588,0.121040724,0.177727784,0.135490394,0.129734848,0.121906508,0.090986395,0.092801388,0.094522968,0.093205575,0.151615576,0.123160341,0.10332871,0.123376623,0.097146739
42,Tennessee,0.032913696,0.0297933,0.025279404,0.030578721,0.093211009,0.080873477,0.1179391,0.158551555,0.100063793,0.059391101,0.073325574,0.087935174,0.100725222,0.100890208,0.069215557,0.107785888,0.097352624
43,Texas,0.140072018,0.144502293,0.111408498,0.021170407,0.061721674,0.126081249,0.220792605,0.249730059,0.28726007,0.205206197,0.233776764,0.158793295,0.13583238,0.286064289,0.292340262,0.347105731,0.262418117
44,Utah,0.066290131,0.035031847,0.005625502,0.012160633,0.033855624,0.063348416,0.056266549,0.111177885,0.071576763,0.09134316,0.040981761,0.062208068,0.066846026,0.146479423,0.105886709,0.092656737,0.106558679
45,Vermont,0.047953216,0.053348468,0.014908257,0.027027027,0.049180328,0.044315992,0.046720575,0.047413793,0.048333333,0.052356021,0.052389706,0.046471601,0.0464,0.055933485,0.051226551,0.053184045,0.052631579
46,Virginia,0.108845949,0.057316683,0.050734867,0.007096881,0.049568096,0.120181569,0.160320378,0.084532174,0.076927533,0.046164461,0.028876716,0.054409006,0.059812855,0.077030812,0.065913584,0.032662761,0.013332608
47,Washington,0.121232877,0.097995751,0.049313358,0.035733192,0.043660496,0.071194763,0.051611482,0.075933258,0.074781062,0.014366833,-0.030992285,-0.006139108,-0.016362327,0.028296402,0.049008023,0.090216544,0.096164414
48,West Virginia,0.056081849,0.059475434,0.089811857,0.08660075,0.11427625,0.129032258,0.232453678,0.25587679,0.301038062,0.239698492,0.301332608,0.384941676,0.353140097,0.334113791,0.325095057,0.304440246,0.240651965
49,Wisconsin,0.074172655,0.018775952,0.004796163,-0.025511127,0.009736647,0.000337268,0.003956399,0.005036246,0.009685051,0.007062147,0.005536494,0.006339845,0.024870918,0.05295472,0.054313752,0.026831785,0.01786613
50,Wyoming,0.49034749,0.096952909,0.103878116,0.318527919,0.567328918,0.347190146,0.367149758,0.164563906,0.168781026,0.230285714,0.227428571,0.475949367,0.484177215,0.518456376,0.518186905,0.431223227,0.544798557
51,50-state median,0.086693161,0.069171588,0.028898124,0.025680337,0.052480299,0.090204788,0.118014008,0.113246139,0.079554402,0.044711159,0.044744494,0.060734934,0.064078014,0.090794788,0.070958705,0.086536689,0.079884845
